Year;Points per game;Field Goals Made;Field Goals Made Attempted;Field Goals Percentage;3 point Made;3 point Attempted;3 point made percentage;3 point made per game;Free throws Made;Free Throws Attended;Free throws Percentage;Rebounds per game;Assists per game;Turnovers per game
2020;99.0;218;437;0.499;80;205;0.390;13.3;78;100;0.780;37.2;24.3;10.3
2016;100.9;278;590;0.471;83;225;0.369;10.4;168;224;0.750;45.5;24.0;11.8
